ID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,UTILIZATION
75eb4934-e20f-4caf-970b-c05d23927ef3,LAHEY CLINIC NORTHSHORE,1 ESSEX CENTER DRIVE,PEABODY,MA,1960,978-538-4000,26
8c27409c-5445-429b-83b8-0042c8aa1711,FALMOUTH HOSPITAL CLINIC AT BOURNE,1 TROWBRIDGE ROAD,BUZZARDS BAY,MA,2532,508-743-0322,1
b4217c1a-0919-497d-a9c9-381ebc988e3a,WALTHAM URGENT CARE,9 HOPE AVENUE,WALTHAM,MA,2453,617-243-5591,6
71b211ec-f144-49b9-8d33-4c9829774077,FONTAINE MEDICAL CENTER,525 LONG POND DRIVE,HARWICH,MA,2645,508-432-4100,4
af62809a-423c-4b73-8fa8-d4f71783bacd,CONCENTRA URGENT CARE - SPRINGFIELD,140 CARANDO DRIVE,SPRINGFIELD,MA,1104,413-746-4006,15
c0b84a8c-d624-48e5-a078-53aa3f0dfd1a,GENERAL HEALTH CARE,66 SOUTH WASHINGTON STREET,NORTH ATTLEBORO,MA,2760,508-643-0100,23
014e130a-923f-4394-a886-08859857e319,RIVER BEND MEDICAL GROUP - CHICOPEE OFFICE - URGENT CARE,444 MONTGOMERY STREET,CHICOPEE,MA,1020,413-594-3111,9
e135f1dd-fd06-43e8-b12e-2915c9fc7d4c,ON CALL URGENT CARE CENTER,51 LOCUST STREET,NORTHAMPTON,MA,1060,413-584-7425,1
0330c4f5-0df8-47ef-829d-a48436f627d0,CONCENTRA URGENT CARE - EAST BOSTON,1 HARBORSIDE DRIVE,EAST BOSTON,MA,2128,617-568-6500,25
5a0ce3e9-191a-4c4c-8004-911aff0dfe3b,ROUTE 44 MEDICAL WALK-IN,106 UNITED STATES HIGHWAY 44,RAYNHAM,MA,2767,508-824-1476,3
e951ac3d-7b4b-4b57-a4d9-2e13f5f259c4,FALLON CLINIC URGENT CARE,630 PLANTATION STREET,WORCESTER,MA,1605,508-595-2505,7
5aaa73e9-5769-4fcc-99b7-7b9e76b0bc2d,PROMPT CARE WALK-IN CLINIC,170 GOVERNORS AVENUE,MEDFORD,MA,2155,781-306-6180,4
